SiteCollection,Site,List,LastModified,TotalFileCount,TotalFileStreamSize,TotalSize,VersionSize
https://m365x79132763.sharepoint.com/sites/ContosoWorks,https://m365x79132763.sharepoint.com/sites/ContosoWorks,Documents,25/09/2023 17:27,1,0.193966866,0.629594803,0.435627937
https://m365x79132763.sharepoint.com/sites/ContosoWorks,https://m365x79132763.sharepoint.com/sites/ContosoWorks,Site Assets,25/09/2023 17:27,19,7.599602699,16.28512955,8.685526848
https://m365x79132763.sharepoint.com/sites/Design,https://m365x79132763.sharepoint.com/sites/Design,Documents,21/09/2023 22:35,3,5.592442513,6.592552185,1.000109673
https://m365x79132763.sharepoint.com/sites/Design,https://m365x79132763.sharepoint.com/sites/Design,Site Assets,21/09/2023 22:39,0,0,0,0
https://m365x79132763.sharepoint.com/sites/DigitalInitiativePublicRelations,https://m365x79132763.sharepoint.com/sites/DigitalInitiativePublicRelations,Documents,21/09/2023 22:40,4,114.5030184,229.6835537,115.1805353
https://m365x79132763.sharepoint.com/sites/DigitalInitiativePublicRelations,https://m365x79132763.sharepoint.com/sites/DigitalInitiativePublicRelations,Site Assets,21/09/2023 22:46,1,0.002732277,0.077032089,0.074299812
https://m365x79132763.sharepoint.com/sites/droneproducttraining,https://m365x79132763.sharepoint.com/sites/droneproducttraining,Documents,25/09/2023 16:49,0,0,0,0
https://m365x79132763.sharepoint.com/sites/droneproducttraining,https://m365x79132763.sharepoint.com/sites/droneproducttraining,Site Assets,25/09/2023 17:27,15,3.946361542,10.392663,6.44630146
https://m365x79132763.sharepoint.com/sites/EMEAProject,https://m365x79132763.sharepoint.com/sites/EMEAProject,Documents,22/09/2023 6:56,0,0,0,0
https://m365x79132763.sharepoint.com/sites/EMEAProject,https://m365x79132763.sharepoint.com/sites/EMEAProject,Site Assets,16/10/2023 16:44,6,0.505905151,1.539999962,1.03409481
https://m365x79132763.sharepoint.com/sites/FlySafeConference,https://m365x79132763.sharepoint.com/sites/FlySafeConference,Documents,25/09/2023 16:49,0,0,0,0
https://m365x79132763.sharepoint.com/sites/FlySafeConference,https://m365x79132763.sharepoint.com/sites/FlySafeConference,Site Assets,25/09/2023 17:27,9,14.13566685,23.54734325,9.411676407
https://m365x79132763.sharepoint.com/sites/give,https://m365x79132763.sharepoint.com/sites/give,Documents,25/09/2023 16:49,0,0,0,0
https://m365x79132763.sharepoint.com/sites/give,https://m365x79132763.sharepoint.com/sites/give,Site Assets,25/09/2023 17:28,14,24.25060844,32.64243031,8.391821861
https://m365x79132763.sharepoint.com/sites/GlobalMarketing,https://m365x79132763.sharepoint.com/sites/GlobalMarketing,Documents,25/09/2023 17:27,3,0.079140663,0.132657051,0.053516388
https://m365x79132763.sharepoint.com/sites/GlobalMarketing,https://m365x79132763.sharepoint.com/sites/GlobalMarketing,Site Assets,25/09/2023 17:27,25,8.83536911,22.13175201,13.2963829
